"shipment_id","carrier","origin_city","destination_city","status","delay_days","cost_usd","weight_kg","shipped_date","delivered_date","destination_region_id"
SH000058,DHL,Pune,Bangalore,in_transit,-1,441.47,395.77,2024-05-12,2024-06-20,5
SH000061,FEDEX,Bangalore,Pune,in_transit,6,297.00,45.30,2024-04-02,2024-06-15,3
SH000063,BLUEDART,Delhi,Delhi,in_transit,4,340.21,85.08,2024-01-25,2024-02-02,1
SH000068,DHL,Pune,Pune,in_transit,7,348.33,334.52,2024-05-09,2024-03-25,1
SH000083,DHL,Pune,Bangalore,delayed,1,480.86,412.48,2024-05-31,2024-03-28,1
SH000090,DHL,Hyderabad,Mumbai,delayed,5,54.80,128.73,2024-03-06,2024-06-19,3
SH000096,BLUEDART,Mumbai,Bangalore,in_transit,8,57.20,128.97,2024-05-07,2024-02-01,4
SH000104,DHL,Hyderabad,Mumbai,delayed,4,474.42,289.35,2024-04-24,2024-06-17,1
SH000105,DHL,Bangalore,Delhi,in_transit,9,310.19,452.66,2024-03-29,2024-04-02,3
SH000123,DHL,Chennai,Pune,in_transit,2,435.82,291.85,2024-05-13,2024-04-30,2
SH000132,FEDEX,Pune,Hyderabad,in_transit,5,309.39,394.62,2024-04-09,2024-02-01,1
SH000155,FEDEX,Mumbai,Bangalore,in_transit,3,231.60,254.17,2024-05-02,2024-01-09,4
SH000166,DHL,Delhi,Mumbai,in_transit,8,497.57,435.53,2024-03-18,2024-02-15,2
SH000183,FEDEX,Chennai,Pune,in_transit,10,406.03,9.44,2024-02-01,2024-01-27,2
SH000187,BLUEDART,Chennai,Delhi,in_transit,1,91.20,341.60,2024-01-15,2024-02-18,2
SH000200,FEDEX,Hyderabad,Mumbai,in_transit,6,95.63,211.31,2024-01-31,2024-02-27,2
SH000201,FEDEX,Delhi,Pune,delayed,2,494.87,106.81,2024-04-16,2024-05-10,2
SH000211,FEDEX,Bangalore,Delhi,pending,0,352.67,8.15,2024-01-31,2024-07-01,2
SH000234,DHL,Hyderabad,Chennai,delivered,5,312.68,446.76,2024-05-21,2024-02-21,4
SH000261,DHL,Hyderabad,Chennai,pending,1,316.21,438.35,2024-01-24,2024-05-27,2
SH000277,BLUEDART,Bangalore,Pune,delayed,4,455.80,194.25,2024-05-25,2024-06-18,2
SH000316,FEDEX,Delhi,Mumbai,delayed,7,129.94,378.55,2024-04-28,2024-01-12,1
SH000334,FEDEX,Pune,Chennai,delayed,9,357.44,460.48,2024-05-30,2024-06-03,3
SH000335,DHL,Pune,Pune,in_transit,3,287.28,265.79,2024-06-28,2024-06-24,1
