shipment_id,carrier,origin_city,destination_city,status,delay_days,cost_usd,weight_kg,shipped_date,delivered_date,destination_region_id,cost_flag
SH000058,DHL,Pune,Bangalore,in_transit,-1,441.47,395.77,2024-05-12,2024-06-20,5,False
SH000061,FEDEX,Bangalore,Pune,in_transit,6,297.0,45.3,2024-04-02,2024-06-15,3,False
SH000063,BLUEDART,Delhi,Delhi,in_transit,4,340.21,85.08,2024-01-25,2024-02-02,1,False
SH000068,DHL,Pune,Pune,in_transit,7,348.33,334.52,2024-05-09,2024-03-25,1,False
SH000083,DHL,Pune,Bangalore,delayed,1,480.86,412.48,2024-05-31,2024-03-28,1,False
SH000090,DHL,Hyderabad,Mumbai,delayed,5,54.8,128.73,2024-03-06,2024-06-19,3,False
SH000096,BLUEDART,Mumbai,Bangalore,in_transit,8,57.2,128.97,2024-05-07,2024-02-01,4,False
SH000104,DHL,Hyderabad,Mumbai,delayed,4,474.42,289.35,2024-04-24,2024-06-17,1,False
SH000105,DHL,Bangalore,Delhi,in_transit,9,310.19,452.66,2024-03-29,2024-04-02,3,False
SH000123,DHL,Chennai,Pune,in_transit,2,435.82,291.85,2024-05-13,2024-04-30,2,False
SH000132,FEDEX,Pune,Hyderabad,in_transit,5,309.39,394.62,2024-04-09,2024-02-01,1,False
SH000155,FEDEX,Mumbai,Bangalore,in_transit,3,231.6,254.17,2024-05-02,2024-01-09,4,False
SH000166,DHL,Delhi,Mumbai,in_transit,8,497.57,435.53,2024-03-18,2024-02-15,2,True
SH000183,FEDEX,Chennai,Pune,in_transit,10,406.03,9.44,2024-02-01,2024-01-27,2,False
SH000187,BLUEDART,Chennai,Delhi,in_transit,1,91.2,341.6,2024-01-15,2024-02-18,2,False
SH000200,FEDEX,Hyderabad,Mumbai,in_transit,6,95.63,211.31,2024-01-31,2024-02-27,2,False
SH000201,FEDEX,Delhi,Pune,delayed,2,494.87,106.81,2024-04-16,2024-05-10,2,False
SH000211,FEDEX,Bangalore,Delhi,pending,0,352.67,8.15,2024-01-31,2024-07-01,2,False
SH000234,DHL,Hyderabad,Chennai,delivered,5,312.68,446.76,2024-05-21,2024-02-21,4,False
SH000261,DHL,Hyderabad,Chennai,pending,1,316.21,438.35,2024-01-24,2024-05-27,2,False
SH000277,BLUEDART,Bangalore,Pune,delayed,4,455.8,194.25,2024-05-25,2024-06-18,2,False
SH000316,FEDEX,Delhi,Mumbai,delayed,7,129.94,378.55,2024-04-28,2024-01-12,1,False
SH000334,FEDEX,Pune,Chennai,delayed,9,357.44,460.48,2024-05-30,2024-06-03,3,False
SH000335,DHL,Pune,Pune,in_transit,3,287.28,265.79,2024-06-28,2024-06-24,1,False
SH000337,FEDEX,Chennai,Mumbai,pending,7,186.76,484.48,2024-02-13,2024-01-16,4,False
SH000343,FEDEX,Delhi,Pune,in_transit,5,418.31,337.74,2024-04-10,2024-03-13,3,False
SH000361,BLUEDART,Delhi,Mumbai,delivered,3,183.66,70.71,2024-03-07,2024-03-27,2,False
SH000372,FEDEX,Hyderabad,Bangalore,delayed,4,133.55,468.65,2024-02-16,2024-02-25,3,False
SH000385,DHL,Hyderabad,Mumbai,in_transit,7,322.54,437.4,2024-02-09,2024-05-08,1,False
SH000398,BLUEDART,Mumbai,Chennai,delivered,2,393.7,391.56,2024-01-13,2024-05-14,4,False
SH000402,FEDEX,Delhi,Bangalore,delayed,6,388.15,329.44,2024-05-30,2024-05-13,5,False
SH000408,BLUEDART,Delhi,Mumbai,delivered,1,60.24,1.08,2024-02-21,2024-02-15,2,False
SH000415,DHL,Delhi,Bangalore,delivered,6,317.84,312.39,2024-02-18,2024-05-29,1,False
SH000442,FEDEX,Pune,Chennai,delivered,1,159.49,57.21,2024-03-16,2024-02-13,1,False
SH000459,FEDEX,Chennai,Pune,delayed,2,134.11,76.24,2024-04-22,2024-06-19,1,False
SH000470,FEDEX,Hyderabad,Pune,delayed,3,347.2,228.64,2024-06-15,2024-06-18,1,False
SH000472,BLUEDART,Pune,Mumbai,in_transit,8,386.96,429.2,2024-03-28,2024-06-30,2,False
SH000476,DHL,Hyderabad,Mumbai,delayed,2,389.09,407.46,2024-01-27,2024-01-18,1,False
SH000481,DHL,Mumbai,Delhi,delayed,10,451.55,446.29,2024-04-22,2024-06-26,5,False
SH000507,BLUEDART,Delhi,Chennai,pending,6,268.51,443.38,2024-03-07,2024-03-28,3,False
SH000515,DHL,Bangalore,Mumbai,pending,5,286.98,299.88,2024-02-13,2024-06-14,5,False
SH000538,FEDEX,Pune,Chennai,in_transit,3,0.0,209.79,2024-05-04,2024-05-02,5,False
SH000540,DHL,Pune,Pune,pending,9,141.78,71.32,2024-01-26,2024-05-10,4,False
SH000543,DHL,Delhi,Hyderabad,in_transit,7,222.08,113.29,2024-03-04,2024-04-06,1,False
SH000561,FEDEX,Mumbai,Bangalore,in_transit,-1,94.54,478.89,2024-06-05,2024-03-24,2,False
SH000567,FEDEX,Hyderabad,Mumbai,pending,0,388.44,500.48,2024-06-28,2024-03-12,4,False
SH000572,FEDEX,Hyderabad,Mumbai,delivered,2,378.3,283.96,2024-05-26,2024-04-15,5,False
SH000578,FEDEX,Pune,Bangalore,in_transit,0,203.75,74.83,2024-01-21,2024-07-02,2,False
SH000583,BLUEDART,Chennai,Mumbai,in_transit,1,57.15,141.85,2024-06-23,2024-02-26,3,False
SH000590,DHL,Chennai,Bangalore,in_transit,2,446.96,261.33,2024-04-26,2024-05-07,5,False
SH000596,FEDEX,Bangalore,Delhi,in_transit,6,300.78,471.32,2024-03-22,2024-05-03,1,False
SH000597,DHL,Chennai,Hyderabad,delayed,2,481.1,79.15,2024-02-08,2024-03-05,3,False
SH000614,FEDEX,Delhi,Chennai,delayed,6,179.44,75.3,2024-03-24,2024-04-11,5,False
SH000623,FEDEX,Delhi,Hyderabad,delayed,4,483.27,340.27,2024-02-18,2024-05-06,3,False
SH000634,BLUEDART,Delhi,Bangalore,delivered,8,416.25,50.88,2024-05-09,2024-06-27,1,False
